Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-05-10,-,Cement Association of Canada,-,Adam Auer,"Alberta Environment and Parks, , Alberta Infrastructure, Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",-,"Budget, Energy, Environment, Transportation, Infrastructure",OL-11039-09,Organization Lobbyist,"Sarah Petrevan, Michael McSweeney, Martha Murray, Glen Furtado, Steve Morrissey, Adam Auer, Ken Carrusca",Notice of Change,Archived,View 
2022-05-10,-,Alberta Counsel,County of Grande Prairie,Jonathon Wescott,"Alberta Infrastructure, Alberta Municipal Affairs, Alberta Justice and Solicitor General, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Premier's Office",Alberta Health Services,"Arts and Culture, Health, Justice and Law Enforcement, Transportation",CL-11549-16,Consultant Lobbyist,"Votham Anastasiadis, Aileen Burke, Alexandra Carlile, Justin Gotfried, Zack Ziolowski, Jonathon Wescott, Pascal Ryffel, Shayne Saskiw, James Johnson, Aaron Singleton, Sydney McHale, Allyssa Rygersberg",Notice of Change,Archived,View 
2022-05-10,-,Alberta Counsel,Municipal District of Opportunity,Jonathon Wescott,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Culture and Status of Women, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Seniors and Housing",-,"Health, Taxes and Finance, Municipal Affairs, Economic Development, Transportation",CL-11066-13,Consultant Lobbyist,"Sydney McHale, Aileen Burke, James Johnson, Votham Anastasiadis, Leo Piquette, Jon Wescott, Zack Ziolkowski, Pascal Ryffel, Shayne Saskiw, Justin Gotfried, Alexandra Carlile, Allyssa Rygersberg, Aaron Singleton",Notice of Change,Archived,View 
2022-05-10,-,New West Public Affairs,Bunge Canada,Monte Solberg,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",Invest Alberta Corporation,Agriculture,CL-12739-01,Consultant Lobbyist,"Sonia Kont, Monte Solberg, Gordon Olsen, Sarah Painchaud, Fahreen Budhwani, Michael Solberg, Matt Solberg, Keith McLaughlin, Graham Gerein",Initial Return,Archived,View 
2022-05-09,-,Alberta Sugar Beet Growers,-,Melody Garner-Skiba,"Alberta Environment and Parks, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Education, Alberta Transportation",-,"Climate, Agriculture, Trade, Environment, Transportation, K-12 Education, Economic Development",OL-10759-13,Organization Lobbyist,Melody Garner-Skiba,Notice of Change,Archived,View 
2022-05-09,-,Breakfast Club of Canada,-,Tommy Kulczyk,"Alberta Children’s Services, Alberta Community and Social Services, Alberta Indigenous Relations, Alberta Education, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Health",-,Children’s Services,OL-12273-03,Organization Lobbyist,"Judith Barry, Ryan Baker",Semi-Annual Renewal,Archived,View 
2022-05-09,-,Edmonton Chamber of Commerce,-,Jeffrey Sundquist,"Alberta Labour and Immigration, Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Children’s Services, Alberta Jobs, Economy and Innovation, Alberta Community and Social Services, Service Alberta, Alberta Municipal Affairs, Executive Council, Alberta Culture and Status of Women, Alberta Health, Alberta Justice and Solicitor General, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Advanced Education, Alberta Seniors and Housing, Premier's Office",Premier’s Council on Charities and Civil Society,"Employment and Training, Budget, Health, Energy, Taxes and Finance, Legal System, Trade, Children’s Services, Social programs, Citizenship and Immigration, Economic Development, Sports, Housing",OL-11122-16,Organization Lobbyist,"Alexandra Hryciw, Jeffrey Sundquist, Cadence Bergman, Deanna Miyauchi, Andrew Koning",Notice of Change,Archived,View 
2022-05-08,-,Alberta Biotechnology Association,-,Robb Stoddard,"Alberta Environment and Parks, Executive Council, Alberta Indigenous Relations, Alberta Community and Social Services, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Seniors and Housing, Alberta Advanced Education","Alberta Health Services, Carewest, Alberta Innovates","Employment and Training, Research and Development, Rural Development, Economic Development, Seniors issues",OL-10998-08,Organization Lobbyist,Robb Stoddard,Semi-Annual Renewal,Archived,View 
2022-05-06,-,Alberta Teachers' Association,-,Dennis Theobald,"Alberta Infrastructure, Alberta Education, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,"Budget, Pensions, K-12 Education",OL-10512-11,Organization Lobbyist,"Nancy Luyckfassel, Sean Brown, Lisa Everitt, Joni A Turville, Andrea L Berg, Jeff B Johnson, Phil A McRae, Jonathan H Teghtmeyer, Robert T Mazzotta, Dennis E Theobald, Nancy L Ball, Brenton Baum, Peter F MacKay, Greg Carabine, Jason C Schilling, Don M Brookwell, Jenny L Regal, Katherine D Pritchard, Heather McCaig, Kathy A Hoehn, Carmen Glossop, Paul A Froese, M Murray Lalonde, Darrin A Bauer, Greg A Jeffery, Kevin Kempt, Richard Kremp, Mark Swanson, Darren Moroz, Karen M Nakaska, Tim Jaffares, Keith Hadden",Semi-Annual Renewal,Archived,View 
2022-05-06,-,Wellington Advocacy Inc.,MR Imaging Corp.,Nick Koolsbergen,"Executive Council, Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",Alberta Health Services,Health,CL-12455-05,Consultant Lobbyist,"Matt de Jong, Brad Tennant, Peter Csillag, Nick Koolsbergen",Notice of Change,Archived,View 
2022-05-06,-,Wellington Advocacy Inc.,"Alberta Environmental Rubber Products, A division of General Scrap Iron & Metals Ltd.",Nick Koolsbergen,"Alberta Environment and Parks, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Premier's Office",-,Environment,CL-12475-06,Consultant Lobbyist,"Peter Csillag, Brad Tennant, Matt de Jong",Notice of Change,Archived,View 
2022-05-06,-,Alberta Counsel,Alberta Funeral Service Association,Jonathon Wescott,"Alberta Justice and Solicitor General, Alberta Legislative Assembly, Premier's Office",-,Justice and Law Enforcement,CL-12729-01,Consultant Lobbyist,"Aaron Singleton, Alexandra Carlile, Allyssa Rygersberg, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Aileen Burke, Votham Anastasiadis, Zack Ziolkowski, Justin Gotfried, Sydney McHale",Initial Return,Archived,View 
2022-05-06,-,Alberta Counsel,Metis Nation of Alberta Association Fort McMurray Local Council 1395,Jonathon Wescott,"Alberta Environment and Parks, Alberta Legislative Assembly, Premier's Office",-,Environment,CL-12719-01,Consultant Lobbyist,"Shayne Saskiw, Jonathon Wescott, Pascal Ryffel, Guy Boutiler, Votham Anastasiadis, Allyssa Rygersberg, Alexandra Carlile, James Johnson, Zack Ziolkowski, Aileen Burke, Aaron Singleton, Sydney McHale",Initial Return,Archived,View 
2022-05-06,-,Hut 8 Inc.,-,Jaime Leverton,"Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Service Alberta, Alberta Treasury Board and Finance",-,Energy,OL-12733-01,Organization Lobbyist,"Erin Dermer, Jaime Leverton",Initial Return,Archived,View 
2022-05-06,-,Wellington Advocacy Inc.,FORTE (Financing Of Return To Employment) Ltd.,Nick Koolsbergen,"Alberta Labour and Immigration, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,Employment and Training,CL-12342-11,Consultant Lobbyist,"Brad Tennant, Matt de Jong, Peter Csillag, Nick Koolsbergen",Notice of Change,Archived,View 
2022-05-06,-,Servus Credit Union,-,Ian Burns,"Service Alberta, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Banks and Other Financial Institutions,OL-10673-16,Organization Lobbyist,"Cody Verbeek, Ian Burns, Atul Varde",Semi-Annual Renewal,Archived,View 
2022-05-06,2022-06-01,Wellington Advocacy Inc.,Risio Institute for Digital Dental Education Inc.,Nick Koolsbergen,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Advanced Education, Premier's Office",-,Employment and Training,CL-12403-05,Consultant Lobbyist,"Brad Tennant, Matt de Jong, Peter Csillag",Notice of Change,Terminated,View 
2022-05-06,-,Alberta Forest Products Association,-,Jason Krips,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Culture and Status of Women, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office","Alberta Utilities Commission, Workers’ Compensation Board, Alberta Electric System Operator","Arts and Culture, Climate, Energy, Procurement, Forestry, Environment, Trade, Indigenous Relations, Workplace Safety, Infrastructure, Wildlife, Transportation",OL-10182-30,Organization Lobbyist,"Aspen Dudzic, Craig Werner, Graham Legaarden, Sheila Harrison, Carola von Sass, Brock Mulligan, Jason Krips, Anna Kauffman, Chris Breen",Notice of Change,Archived,View 
2022-05-06,-,Wellington Advocacy Inc.,PURE Canadian Gaming Corp.,Nick Koolsbergen,"Executive Council, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission, Invest Alberta Corporation",Gaming,CL-12501-06,Consultant Lobbyist,"Matt de Jong, Peter Csillag, Nick Koolsbergen",Notice of Change,Archived,View 
2022-05-06,-,Crestview Strategy,SkipTheDishes Restaurant Services Inc.,Chad Rogers,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,"Economic Development, Labour Relations",CL-12734-01,Consultant Lobbyist,"Taleesha Thorogood, Alex Chreston",Initial Return,Archived,View 
2022-05-05,-,Sherwood Park & District Chamber of Commerce,-,Todd Banks,"Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance",-,"Budget, Energy, Economic Development",OL-10467-11,Organization Lobbyist,Todd Banks,Semi-Annual Renewal,Archived,View 
2022-05-05,-,Students' Association of MacEwan University,-,Myles Dykes,"Alberta Labour and Immigration, Alberta Culture and Status of Women, Alberta Advanced Education",Grant MacEwan University,Post-secondary Education,OL-10440-15,Organization Lobbyist,"Parvin Sedighi, Myles Dykes, Matthew Yanish, Stephan Vasquez, Larissa Williams, Elaine Tran, Darryl Kostash",Notice of Change,Archived,View 
2022-05-05,-,The Co-operators Group Ltd.,-,Rob Wesseling,"Alberta Environment and Parks, Alberta Infrastructure, Service Alberta, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance",Automobile Insurance Rate Board,"Insurance, Infrastructure",OL-10965-22,Organization Lobbyist,"Scott MacDonald, Nicole Bellefleur, Gerry Martineau, George Hardy, Todd Saunders, Christopher Ross, Jim Mahoney, Sara Cleland, Maya Milardovic, Lisa Guglietti, Robert Wesseling, Lee Rumleskie",Semi-Annual Renewal,Archived,View 
2022-05-05,-,Crestview Strategy,Riipen,Chad Rogers,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Alberta Advanced Education",-,Employment and Training,CL-12382-02,Consultant Lobbyist,"Bill Anderson, Taleesha Thorogood",Notice of Change,Archived,View 
2022-05-05,-,Brookfield BRP Canada Corp. (operating as Evolugen),-,Josée Guibord,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly",Alberta Electric System Operator,"Energy, Environment",OL-12715-01,Organization Lobbyist,"Remi Moreau, Mike Peters, Julien Wu, Isabelle Deguise",Initial Return,Archived,View 
2022-05-04,-,SAS Institute (Canada) Inc.,-,Andrew Dixon,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Children’s Services, Alberta Energy, Alberta Community and Social Services, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Service Alberta, Executive Council, Alberta Education, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office, Alberta Advanced Education",-,Science and Technology,OL-12004-06,Organization Lobbyist,Christine Jackson,Notice of Change,Archived,View 
2022-05-04,2022-09-12,Enterprise Canada Inc.,Trident Pump Inc,Barbara Fox,"Alberta Agriculture, Forestry and Rural Economic Development",-,Disaster Services and Emergency Relief,CL-12731-01,Consultant Lobbyist,"Erika Barootes, Steven McLelan",Initial Return,Terminated,View 
2022-05-04,-,Canadian Off-Highway Vehicle Distributors Council,-,Michelle O'Hara,"Alberta Environment and Parks, Executive Council, Premier's Office",-,Environment,OL-10562-13,Organization Lobbyist,"Oksana Buhel, Paul J Demers, Michelle O'Hara",Notice of Change,Archived,View 
2022-05-04,2022-08-08,Wellington Advocacy Inc.,Red Bull Canada Ltd.,Nick Koolsbergen,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission","Food, Sports",CL-12169-08,Consultant Lobbyist,"Brad Tennant, Peter Csillag, Matt de Jong, Trisha Rinneard",Notice of Change,Terminated,View 
2022-05-04,-,Fasken Martineau DuMoulin LLP,Fair Tax Treatment for Responsible Digital Asset Mining Coalition,Peter Feldberg,"Alberta Jobs, Economy and Innovation, Service Alberta",-,Taxes and Finance,CL-12721-01,Consultant Lobbyist,"Daniel Brock, Andrew House",Initial Return,Archived,View 
2022-05-04,-,Wellington Advocacy Inc.,Brane Inc (dba Brane Capital),Nick Koolsbergen,"Executive Council, Service Alberta, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Justice and Solicitor General, Alberta Treasury Board and Finance, Premier's Office",Invest Alberta Corporation,Science and Technology,CL-12038-05,Consultant Lobbyist,"Matt de Jong, Peter Csillag, Brad Tennant, Nick Koolsbergen",Notice of Change,Archived,View 
2022-05-04,-,TransAlta Corporation,-,John Kousinioris,"Alberta Environment and Parks, Alberta Energy, Alberta Children’s Services, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Indigenous Relations, Alberta Treasury Board and Finance, Premier's Office",Alberta Energy Regulator,"Energy, Climate, Environment, Infrastructure, Economic Development, Disaster Services and Emergency Relief",OL-10516-15,Organization Lobbyist,"Akira Yamamoto, Aron Willis, Michael Novelli, Liam Stone, Duncan Webster, Gabriel John, Laura Arnold, John Kousinioris, Kerry O'Reilly Wilks, Chelsea Donelon, Blain van Melle",Semi-Annual Renewal,Archived,View 
2022-05-04,-,Business Council of Canada,-,Goldy Hyder,"Alberta Environment and Parks, Alberta Labour and Immigration, , Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Health, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education","Alberta Energy Regulator, Alberta Securities Commission","Employment and Training, Budget, Energy, Taxes and Finance, Health, Climate, Agriculture, Trade, Environment, Indigenous Relations, Infrastructure, Economic Development, Security, Labour Relations",OL-10501-11,Organization Lobbyist,"Jack Hughes, Owen Brown, Amy Castle, Goldy Hyder, Trevor Kennedy, John Dillon, Ross Laver, Howard Fremeth, Michael Gullo, Robert Asselin, Trevor Neiman, Louise Blais",Semi-Annual Renewal,Archived,View 
